iter	Passed	Remaining
0	8	4263
1	15	3932
2	22	3800
3	30	3758
4	37	3732
5	44	3704
6	52	3673
7	59	3651
8	66	3632
9	73	3624
10	81	3641
11	89	3631
12	96	3624
13	104	3620
14	111	3603
15	118	3584
16	125	3572
17	132	3559
18	140	3554
19	147	3542
20	154	3535
21	162	3525
22	169	3514
23	176	3503
24	183	3494
25	191	3485
26	198	3472
27	205	3461
28	212	3451
29	219	3443
30	226	3433
31	234	3427
32	241	3423
33	249	3414
34	256	3406
35	263	3396
36	270	3386
37	277	3376
38	284	3366
39	292	3360
40	299	3351
41	306	3343
42	314	3338
43	321	3330
44	328	3326
45	336	3321
46	343	3312
47	350	3304
48	358	3295
49	365	3289
50	372	3280
51	380	3274
52	387	3271
53	395	3263
54	402	3256
55	409	3247
56	416	3239
57	423	3230
58	431	3222
59	438	3213
60	445	3206
61	452	3199
62	459	3190
63	467	3182
64	474	3174
65	481	3168
66	489	3163
67	496	3154
68	503	3146
69	510	3137
70	518	3130
71	525	3124
72	532	3116
73	539	3108
74	547	3100
75	554	3091
76	561	3083
77	568	3075
78	575	3068
79	583	3062
80	590	3054
81	597	3048
82	605	3040
83	612	3034
84	620	3031
85	628	3024
86	635	3017
87	642	3009
88	649	3001
89	657	2993
90	664	2988
91	672	2981
92	679	2974
93	687	2968
94	694	2961
95	701	2954
96	709	2946
97	716	2939
98	723	2932
99	731	2924
100	738	2916
101	745	2908
102	752	2901
103	759	2893
104	767	2885
105	774	2878
106	781	2870
107	788	2862
108	796	2855
109	803	2848
110	810	2840
111	817	2832
112	824	2825
113	832	2819
114	839	2811
115	847	2804
116	854	2797
117	861	2789
118	868	2782
119	876	2775
120	883	2767
121	891	2761
122	898	2753
123	905	2746
124	913	2739
125	920	2731
126	927	2724
127	934	2716
128	941	2708
129	949	2701
130	956	2694
131	964	2687
132	971	2679
133	978	2672
134	985	2664
135	992	2657
136	1000	2650
137	1007	2642
138	1014	2635
139	1022	2628
140	1029	2620
141	1036	2613
142	1043	2605
143	1050	2597
144	1057	2590
145	1065	2583
146	1073	2577
147	1080	2570
148	1088	2563
149	1095	2556
150	1103	2549
151	1110	2542
152	1117	2534
153	1124	2527
154	1132	2519
155	1139	2511
156	1146	2504
157	1153	2497
158	1160	2489
159	1167	2481
160	1175	2475
161	1182	2467
162	1190	2460
163	1197	2453
164	1204	2446
165	1212	2438
166	1219	2431
167	1226	2423
168	1233	2416
169	1240	2408
170	1248	2401
171	1255	2393
172	1262	2386
173	1270	2379
174	1277	2371
175	1284	2364
176	1291	2356
177	1298	2349
178	1305	2341
179	1313	2334
180	1320	2327
181	1328	2321
182	1335	2313
183	1342	2306
184	1350	2298
185	1357	2291
186	1364	2283
187	1371	2276
188	1378	2269
189	1385	2261
190	1393	2254
191	1400	2246
192	1407	2239
193	1415	2232
194	1422	2225
195	1430	2218
196	1438	2211
197	1445	2204
198	1453	2198
199	1461	2191
200	1469	2185
201	1477	2179
202	1485	2172
203	1493	2166
204	1501	2160
205	1509	2154
206	1518	2148
207	1526	2142
208	1534	2137
209	1543	2131
210	1552	2126
211	1561	2121
212	1571	2116
213	1579	2111
214	1588	2106
215	1598	2101
216	1607	2096
217	1617	2092
218	1626	2086
219	1635	2082
220	1644	2076
221	1654	2072
222	1663	2066
223	1672	2061
224	1681	2055
225	1690	2050
226	1700	2044
227	1709	2039
228	1719	2034
229	1728	2029
230	1737	2023
231	1747	2018
232	1757	2013
233	1766	2007
234	1775	2002
235	1785	1997
236	1794	1991
237	1804	1986
238	1813	1980
239	1823	1975
240	1834	1971
241	1844	1966
242	1855	1961
243	1865	1957
244	1876	1952
245	1886	1947
246	1895	1941
247	1905	1936
248	1915	1930
249	1924	1924
250	1934	1919
251	1944	1914
252	1954	1908
253	1965	1903
254	1975	1898
255	1985	1892
256	1995	1886
257	2004	1880
258	2014	1874
259	2024	1868
260	2034	1862
261	2044	1857
262	2054	1851
263	2064	1845
264	2074	1839
265	2084	1833
266	2094	1828
267	2104	1822
268	2115	1816
269	2125	1810
270	2135	1804
271	2144	1797
272	2154	1791
273	2164	1785
274	2176	1780
275	2186	1774
276	2196	1768
277	2206	1762
278	2216	1755
279	2226	1749
280	2235	1742
281	2245	1735
282	2255	1729
283	2265	1722
284	2274	1716
285	2284	1709
286	2294	1702
287	2304	1696
288	2314	1689
289	2324	1683
290	2334	1676
291	2344	1669
292	2353	1663
293	2363	1656
294	2373	1649
295	2383	1642
296	2393	1635
297	2403	1628
298	2412	1621
299	2422	1614
300	2431	1607
301	2441	1601
302	2451	1594
303	2461	1587
304	2471	1580
305	2481	1573
306	2490	1565
307	2500	1558
308	2510	1551
309	2520	1544
310	2530	1537
311	2539	1530
312	2549	1523
313	2559	1515
314	2568	1508
315	2578	1501
316	2588	1494
317	2599	1487
318	2611	1481
319	2621	1474
320	2631	1467
321	2641	1460
322	2651	1452
323	2661	1445
324	2671	1438
325	2680	1430
326	2690	1423
327	2700	1416
328	2710	1408
329	2720	1401
330	2730	1394
331	2739	1386
332	2749	1378
333	2759	1371
334	2769	1364
335	2779	1356
336	2789	1349
337	2799	1341
338	2809	1334
339	2819	1326
340	2830	1319
341	2840	1312
342	2850	1304
343	2860	1297
344	2870	1289
345	2880	1281
346	2890	1274
347	2900	1266
348	2909	1259
349	2919	1251
350	2929	1243
351	2938	1235
352	2948	1227
353	2958	1220
354	2968	1212
355	2978	1204
356	2988	1196
357	2997	1188
358	3007	1181
359	3017	1173
360	3026	1165
361	3036	1157
362	3046	1149
363	3056	1141
364	3065	1133
365	3075	1126
366	3085	1118
367	3095	1110
368	3106	1102
369	3116	1094
370	3126	1086
371	3135	1079
372	3145	1071
373	3155	1063
374	3165	1055
375	3175	1047
376	3185	1039
377	3194	1031
378	3204	1023
379	3214	1015
380	3224	1007
381	3234	998
382	3244	991
383	3254	983
384	3264	975
385	3274	966
386	3284	958
387	3293	950
388	3303	942
389	3313	934
390	3323	926
391	3334	918
392	3343	910
393	3353	902
394	3363	894
395	3373	885
396	3383	877
397	3393	869
398	3403	861
399	3413	853
400	3423	845
401	3433	836
402	3443	828
403	3453	820
404	3463	812
405	3473	804
406	3482	795
407	3492	787
408	3502	779
409	3512	771
410	3522	762
411	3532	754
412	3542	746
413	3553	738
414	3564	730
415	3574	721
416	3585	713
417	3595	705
418	3606	697
419	3617	689
420	3627	680
421	3637	672
422	3647	664
423	3657	655
424	3667	647
425	3677	638
426	3687	630
427	3697	621
428	3707	613
429	3717	605
430	3726	596
431	3736	588
432	3746	579
433	3756	571
434	3766	562
435	3776	554
436	3786	545
437	3796	537
438	3806	528
439	3816	520
440	3826	511
441	3836	503
442	3846	494
443	3855	486
444	3865	477
445	3875	469
446	3885	460
447	3895	452
448	3905	443
449	3915	435
450	3925	426
451	3935	417
452	3945	409
453	3955	400
454	3965	392
455	3974	383
456	3985	374
457	3994	366
